Obs	omega	k
o12.6	-0.591474636729753	-0.021136610474661865
o12.7	-0.5826387012657946	-0.021285443916799207
o12.8	-0.5735083551948933	-0.021427624248946953
o12.9	-0.5640832890987091	-0.021564015076122045
o13.0	-0.5543630573919028	-0.021694619341200982
o13.1	-0.5443557156455958	-0.021818202785467977
o13.2	-0.534070445074834	-0.021935508842427787
o13.3	-0.5235088960686624	-0.0220465375120793
o13.4	-0.5126724406299815	-0.022150949436344214
o13.5	-0.5015655781857636	-0.022248448624341277
o13.6	-0.49020266110608174	-0.02233915242851492
o13.7	-0.47858581619235563	-0.02242300756370441
o13.8	-0.4667161935154457	-0.022500116267996084
o13.9	-0.45459318232056456	-0.02257010604051035
o14.0	-0.44223981980132326	-0.022632785495918517
o14.1	-0.429656201386055	-0.02268769558783912
o14.2	-0.4168392280668398	-0.02273674547524862
o14.3	-0.4037993884062552	-0.022778051331303617
o14.4	-0.3905513207935646	-0.022811613156005217
o14.5	-0.37709581875551124	-0.0228369845145443
o14.6	-0.3634323300479636	-0.02285660217235419
o14.7	-0.34957911236451533	-0.022868179533905297
o14.8	-0.33553746925025996	-0.022871716599198177
o14.9	-0.32130960001401754	-0.022867170946588855
o15.0	-0.3069175916564715	-0.022856369896979145
o15.1	-0.2923550826751903	-0.022837362539343542
o15.2	-0.27762017104982883	-0.02281014887368149
o15.3	-0.2627520955737117	-0.0227754130081137
o15.4	-0.24773651740872926	-0.02273353474489148
o15.5	-0.23256484077892878	-0.022683382259290896
o15.6	-0.21727740406135118	-0.022624843206640044
o15.7	-0.2018775301987363	-0.0225598356982043
o15.8	-0.18633732358698807	-0.022486558544759228
o15.9	-0.1706977768458623	-0.02240501174630427
o16.0	-0.15498044695126723	-0.022316146806579673
o16.1	-0.1391402822306692	-0.022219661855465422
o16.2	-0.123223290032482	-0.022114967849766742
o16.3	-0.10725230577370348	-0.02200261843478768
o16.4	-0.09118161980189776	-0.02188296520641897
o16.5	-0.07505948034103649	-0.02175520866409264
o16.6	-0.05890301106522888	-0.021619686710840913
o16.7	-0.042672626193294705	-0.021477031625438125
o16.8	-0.026416722221216382	-0.021326417120898777
o16.9	-0.010143643453486284	-0.02116808959974792
o17.0	0.006173784251144454	-0.02100272170980022
o17.1	0.022493368980658346	-0.020829570774972272
o17.2	0.038816847328263515	-0.020648870171974254
o17.3	0.05514465383873678	-0.020461196604815712
o17.4	0.07145943717141612	-0.020265943985378065
o17.5	0.08775788993539091	-0.020063380008497056
o17.6	0.10402838691307092	-0.01985391836711592
o17.7	0.12027250290296554	-0.019637105496746465
o17.8	0.13646810644316	-0.019413272473566834
o17.9	0.15261606641403025	-0.01918264348497678
o18.0	0.16872270122226252	-0.0189449116889695
o18.1	0.18474008354649407	-0.018700493840833055
o18.2	0.20070263587269543	-0.018449413722794183
o18.3	0.216589549624478	-0.018191443634451576
o18.4	0.23237117428039022	-0.017927271493895502
o18.5	0.24808711041279022	-0.01765654421838514
o18.6	0.26367515386033047	-0.01737932963231048
o18.7	0.2791646859529884	-0.01709609982496807
o18.8	0.29455276715804335	-0.01680660937980527
o18.9	0.30978834253272025	-0.016511066440869637
o19.0	0.3249254308165017	-0.016209724310718432
o19.1	0.33990622711862706	-0.01590236853634408
o19.2	0.3547451530335649	-0.015589566622805084
o19.3	0.36944512678556585	-0.01527112414041465
o19.4	0.38396678231463033	-0.014947118790702985
o19.5	0.39834775354113783	-0.01461796553608452
o19.6	0.41254554716548597	-0.014283493698468708
o19.7	0.4265676774846483	-0.013943989563477975
o19.8	0.44040985019271456	-0.01359960175149555
o19.9	0.45405806297291745	-0.01325025765811949
o20.0	0.4675139555471397	-0.012896456541658942
o20.1	0.48076907853310763	-0.01253799677261136
o20.2	0.4938129852074652	-0.012175171639616789
o20.3	0.506646632624092	-0.011808164710407907
o20.4	0.519262929011331	-0.011436883247145091
o20.5	0.5316479877631874	-0.011061888475241144
o20.6	0.5438183516623207	-0.01068290699342278
o20.7	0.5557316784676319	-0.010300350540243808
o20.8	0.5674265799901105	-0.00991430127981252
o20.9	0.5788574770218189	-0.009524754241876932
o21.0	0.5900514117822572	-0.009132240602517383
o21.1	0.6009865352915789	-0.008736323500216914
o21.2	0.6116567371448708	-0.00833796684584609
o21.3	0.622074655158116	-0.007936632924339104
o21.4	0.6322077738885925	-0.007532739649713238
o21.5	0.6420860979520276	-0.007126532475000281
o21.6	0.6516717764017377	-0.006717835558497643
o21.7	0.660990185305855	-0.006307401986650196
o21.8	0.6700162113331296	-0.005894546922561583
o21.9	0.6787572366848227	-0.005480543733533405
o22.0	0.6872076561245363	-0.005064550678033075
o22.1	0.695359428526587	-0.004647271952583909
o22.2	0.703218316131425	-0.004228693861807464
o22.3	0.7107709527699049	-0.0038089111696956723
o22.4	0.718025640871367	-0.00338841165028303
o22.5	0.7249681773736766	-0.002966794257365235
o22.6	0.7316070277545632	-0.0025450387185066425
o22.7	0.7379298067840213	-0.0021222602149653658
o22.8	0.7439426051280957	-0.0016999134048295559
o22.9	0.7496370397472534	-0.0012766516645082437
o23.0	0.7550149066792692	-0.0008543752251091719
o23.1	0.7600730575381981	-0.00043164958592689656
o23.2	0.7648090321346513	-9762114598632632e-21
o23.3	0.7692249806039732	0.00041194972549174485
o23.4	0.7733128053644668	0.0008325926045887889
o23.5	0.7770823759833695	0.0012526502472104406
o23.6	0.7805169063980829	0.0016713635276330296
o23.7	0.783634166685015	0.0020891369432902984
o23.8	0.7864150760871602	0.002505236730392796
o23.9	0.7888751401893469	0.002920108306060376
o24.0	0.7910022850387217	0.003332913561348988
o24.1	0.7928030181859617	0.0037442799550463373
o24.2	0.7942733841969025	0.004153114597325452
o24.3	0.7954179507979509	0.004560580833387479
o24.4	0.7962303228699406	0.004964583636622444
o24.5	0.7967177883314429	0.0053670732649557795
o24.6	0.7968777338226679	0.005766091496963999
o24.7	0.7967082379388704	0.006162947657831139
o24.8	0.7962179118890911	0.006556439212965781
